SUMMARY OF RUN ./data/case1/case1.data -- 333 time step
Row 1
	        TIME	      NRiter	      LSiter	         FPR	      Volume	        FOPR	        FOPT	        FGPR	        FGPT	        FWPR
	         DAY	           -	           -	        PSIA	         Ft3	     STB/DAY	         STB	    MSCF/DAY	        MSCF	     STB/DAY
	           -	           -	           -	           -	 Hydrocarbon	           -	           -	           -	           -	           -
	       0.010	           3	           7	 4.79425e+03	 2.64618e+09	 2.00000e+04	 2.00000e+02	 2.54000e+04	 2.54000e+02	 1.75311e-03
	       0.110	          11	          33	 4.79469e+03	 2.64618e+09	 2.00000e+04	 2.20000e+03	 2.52532e+04	 2.77932e+03	 5.13829e-03
	       0.210	          16	          48	 4.79507e+03	 2.64618e+09	 2.00000e+04	 4.20000e+03	 2.50685e+04	 5.28617e+03	 6.11972e-03
	       0.329	          20	          60	 4.79556e+03	 2.64619e+09	 2.00000e+04	 6.57629e+03	 2.58672e+04	 8.35958e+03	 7.02099e-03
	       0.389	          23	          68	 4.79577e+03	 2.64619e+09	 2.00000e+04	 7.77253e+03	 2.63985e+04	 9.93852e+03	 7.45267e-03
	       0.508	          26	          79	 4.79620e+03	 2.64619e+09	 2.00000e+04	 1.01650e+04	 2.74230e+04	 1.32190e+04	 8.29294e-03
	       0.747	          32	          99	 4.79709e+03	 2.64620e+09	 2.00000e+04	 1.49499e+04	 2.81179e+04	 1.99461e+04	 9.47089e-03
	       1.000	          37	         116	 4.79801e+03	 2.64621e+09	 2.00000e+04	 2.00000e+04	 2.77843e+04	 2.69617e+04	 1.01560e-02
	       1.379	          42	         129	 4.79939e+03	 2.64623e+09	 2.00000e+04	 2.75751e+04	 2.69692e+04	 3.71764e+04	 1.07135e-02
	       1.947	          48	         146	 4.80150e+03	 2.64625e+09	 2.00000e+04	 3.89377e+04	 2.66512e+04	 5.23178e+04	 1.13695e-02
	       2.799	          54	         163	 4.80458e+03	 2.64628e+09	 2.00000e+04	 5.59817e+04	 2.68004e+04	 7.51570e+04	 1.22665e-02
	       4.000	          58	         177	 4.80892e+03	 2.64632e+09	 2.00000e+04	 8.00000e+04	 2.67729e+04	 1.07309e+05	 1.31562e-02
	       6.104	          64	         197	 4.81651e+03	 2.64640e+09	 2.00000e+04	 1.22086e+05	 2.66934e+04	 1.63480e+05	 1.42328e-02
	       8.965	          69	         216	 4.82662e+03	 2.64650e+09	 2.00000e+04	 1.79306e+05	 2.67611e+04	 2.40043e+05	 1.53557e-02
	      11.965	          74	         233	 4.83690e+03	 2.64660e+09	 2.00000e+04	 2.39306e+05	 2.67935e+04	 3.20423e+05	 1.62582e-02
	      13.000	          77	         241	 4.84023e+03	 2.64664e+09	 2.00000e+04	 2.60000e+05	 2.67857e+04	 3.48139e+05	 1.65294e-02
	      15.069	          81	         255	 4.84717e+03	 2.64671e+09	 2.00000e+04	 3.01389e+05	 2.68196e+04	 4.03641e+05	 1.70262e-02
	      18.069	          86	         272	 4.85745e+03	 2.64681e+09	 2.00000e+04	 3.61389e+05	 2.68496e+04	 4.84189e+05	 1.76308e-02
	      21.069	          91	         290	 4.86755e+03	 2.64691e+09	 2.00000e+04	 4.21389e+05	 2.68364e+04	 5.64699e+05	 1.81253e-02
	      24.069	          96	         307	 4.87769e+03	 2.64701e+09	 2.00000e+04	 4.81389e+05	 2.68077e+04	 6.45122e+05	 1.85354e-02
	      27.069	         101	         325	 4.88777e+03	 2.64712e+09	 2.00000e+04	 5.41389e+05	 2.67573e+04	 7.25394e+05	 1.88748e-02
	      30.069	         106	         342	 4.89784e+03	 2.64722e+09	 2.00000e+04	 6.01389e+05	 2.66837e+04	 8.05445e+05	 1.91469e-02
	      33.069	         111	         361	 4.90789e+03	 2.64731e+09	 2.00000e+04	 6.61389e+05	 2.65914e+04	 8.85219e+05	 1.93570e-02
