SUMMARY OF RUN ../../data/case1.data -- 346 time step
Row 1
	        TIME	      NRiter	      LSiter	         FPR	      Volume	        FOPR	        FOPT	        FGPR	        FGPT	        FWPR
	         DAY	           -	           -	        PSIA	         Ft3	     STB/DAY	         STB	    MSCF/DAY	        MSCF	     STB/DAY
	           -	           -	           -	           -	 Hydrocarbon	           -	           -	           -	           -	           -
	       0.010	           3	           6	 4.79424e+03	 2.64617e+09	 2.00000e+04	 2.00000e+02	 2.54000e+04	 2.54000e+02	 1.75311e-03
	       0.110	          11	          35	 4.79469e+03	 2.64618e+09	 2.00000e+04	 2.20000e+03	 2.52532e+04	 2.77932e+03	 5.13829e-03
	       0.210	          16	          53	 4.79507e+03	 2.64618e+09	 2.00000e+04	 4.20000e+03	 2.50685e+04	 5.28617e+03	 6.11972e-03
	       0.329	          20	          66	 4.79556e+03	 2.64619e+09	 2.00000e+04	 6.57628e+03	 2.58672e+04	 8.35956e+03	 7.02099e-03
	       0.528	          27	          90	 4.79630e+03	 2.64619e+09	 2.00000e+04	 1.05648e+04	 2.72215e+04	 1.37883e+04	 8.30742e-03
	       0.827	          31	         105	 4.79740e+03	 2.64621e+09	 2.00000e+04	 1.65476e+04	 2.79287e+04	 2.21429e+04	 9.62799e-03
	       1.000	          34	         115	 4.79801e+03	 2.64621e+09	 2.00000e+04	 2.00000e+04	 2.77561e+04	 2.69341e+04	 1.01092e-02
	       1.345	          39	         129	 4.79926e+03	 2.64622e+09	 2.00000e+04	 2.69047e+04	 2.70364e+04	 3.62680e+04	 1.06573e-02
	       1.863	          45	         151	 4.80118e+03	 2.64624e+09	 2.00000e+04	 3.72618e+04	 2.66589e+04	 5.00734e+04	 1.12689e-02
	       2.640	          50	         168	 4.80400e+03	 2.64627e+09	 2.00000e+04	 5.27974e+04	 2.67836e+04	 7.08784e+04	 1.21172e-02
	       3.805	          55	         185	 4.80821e+03	 2.64631e+09	 2.00000e+04	 7.61008e+04	 2.67799e+04	 1.02082e+05	 1.30284e-02
	       4.000	          57	         191	 4.80884e+03	 2.64632e+09	 2.00000e+04	 8.00000e+04	 2.67640e+04	 1.07299e+05	 1.31664e-02
	       4.390	          59	         197	 4.81014e+03	 2.64633e+09	 2.00000e+04	 8.77983e+04	 2.67117e+04	 1.17715e+05	 1.34026e-02
	       5.170	          63	         208	 4.81286e+03	 2.64636e+09	 2.00000e+04	 1.03395e+05	 2.66877e+04	 1.38527e+05	 1.38342e-02
	       6.729	          67	         223	 4.81839e+03	 2.64642e+09	 2.00000e+04	 1.34588e+05	 2.67658e+04	 1.80272e+05	 1.45892e-02
	       9.246	          72	         241	 4.82734e+03	 2.64651e+09	 2.00000e+04	 1.84927e+05	 2.68467e+04	 2.47843e+05	 1.55559e-02
	      12.246	          77	         260	 4.83771e+03	 2.64661e+09	 2.00000e+04	 2.44927e+05	 2.68167e+04	 3.28293e+05	 1.63955e-02
	      13.000	          80	         268	 4.84012e+03	 2.64663e+09	 2.00000e+04	 2.60000e+05	 2.67957e+04	 3.48489e+05	 1.65825e-02
	      14.507	          83	         277	 4.84511e+03	 2.64668e+09	 2.00000e+04	 2.90147e+05	 2.67983e+04	 3.88883e+05	 1.69350e-02
	      17.507	          88	         295	 4.85544e+03	 2.64679e+09	 2.00000e+04	 3.50147e+05	 2.68327e+04	 4.69381e+05	 1.75492e-02
	      20.507	          94	         316	 4.86561e+03	 2.64689e+09	 2.00000e+04	 4.10147e+05	 2.68300e+04	 5.49871e+05	 1.80578e-02
	      23.507	          98	         334	 4.87575e+03	 2.64699e+09	 2.00000e+04	 4.70147e+05	 2.68070e+04	 6.30292e+05	 1.84795e-02
	      26.507	         102	         351	 4.88585e+03	 2.64709e+09	 2.00000e+04	 5.30147e+05	 2.67638e+04	 7.10583e+05	 1.88307e-02
